kind,sound-trigger,sound-replay,visual-trigger,visual-replay,state-consumption,status,notes
CrystalUnstableTicked,crystaltick(3D at the touch/hit via StartTimer),crystaltick 3D replay (same call),5s ticking glow ramp+jitter,5s ticking glow ramp+jitter (CrystalTickingReplay),none (transient - CrystalUnstableExploded is the durable consumption),covered,reported at the timerStarted false to true edge (StartTimer; CrystalUnstable.cs:31-37/70) at the ticking's true start; receiver never writes timerStarted/timer (a local natural countdown would double the explosion effects); CrystalTickingReplay owns the 5 s visual + duplicate guard
CrystalUnstableExploded,crystaltick (5s tick)+explosion-fivepiece,explosion-fivepiece+tinnitus,5s ticking glow/shake+explosion,particle/blastmark/shake+body-segment,health0+RemoteEntityDeath,covered,5s pre-explosion ticking rides the dedicated CrystalUnstableTicked event (the transient start); the explosion stays the durable consumption
CrystalMetamorphicTriggered,crystalenemylaugh,ok,FlashBrief,FlashBrief,activated latch,covered,death rides BuildingEntityDamaged + drops ride the item domain
CrystalMimicTriggered,observerlaugh 2D (CrystalMimic.cs:29/43 args),observerlaugh 2D (live relay; silent on late-joiner snapshot),pulse stops via activated latch + spawned crystalenemies,pulse stops; spawned enemies ride EntitySpawned,activated latch (one-shot); enemies ride EnemyRuntimeSpawn,covered,spawns ride EntitySpawned + EnemySyncCoordinator runtime binding; late joiner consumes the mimic via the kernel WorldEntities checkpoint projection and materializes enemies from EnemySnapshot.RuntimeSpawns; crystalenemy tint rides EntitySpawned/EnemySnapshot (PV24)
CrystalShySwapped,observerlaugh,ok,position swap,re-scan swap,activated latch,covered,scan order has no formal guarantee (generation-static crystals)
CrystalTeleportTriggered,observerlaugh 2D (CrystalTeleport.cs:27),observerlaugh 2D (live relay),FlashBrief (trigger side),FlashBrief (relay),none (repeatable),covered,body teleport rides the 20 Hz player stream; no latch and no late-joiner replay
CrystalEMPActivated,crystalemp,ok,white flash+Shake200+darken,white flash+Shake200 (darken runs natural),activated latch,covered,battery drain rides the item domain
BarbedFenceHit,fence(3D) ok,ok,hitSprite transition,ok,none (instant),covered,
CoilShocked,zap(3D)+light-flash+Shake,ok,light flash,SetLightIntensity ok,cooldown gate,covered,
CactusHit,gore at player (DoGoreSound),gore1-5 at cactus (3D),player-knockback (local) + cactus self-damage (health-=30),none + BuildingEntityDamaged silent health relay,none,covered,sound position differs per-side semantics; self-damage rides BuildingEntityDamagedMsg.PlayHitSound=false (ProtocolVersion 21) so peers' cactus health/death stay in sync without replaying the entity hitSound
JumpPadLaunched,jumppad(3D)+light+Shake,ok,light flash,ok,cooldown gate,covered,
BananaPlantSlip,plantslip(3D) ok,ok,none,none,none,covered,
GrabberGrabbed,EnemyEffectMsg body terminal state,n/a (no live EntityEvent),scream bubble + ragdoll via speech/entity-state streams,n/a,layout key only,excluded,kind retained only as the trap-layout identity key; the body effect rides EnemyEffectMsg (NetMsg 85)
ShuttleDoorOpened,shuttleNotice+shuttleOpen(3D at 2s),shuttleNotice replayed on live relay + shuttleOpen via Update natural; late-joiner silent,door-lift anim,ok,activated,covered,shuttleNotice was missing on the guest live-replay path (fixed 2026-08-26); 50pct talk is trigger-side local UI not replayed
LifepodHeatChanged,button-sound (interaction layer),ToggleHeatState runs game path,sprite+description,ok,heatState,covered,
LifepodShowerActivated,none,ActivateShower runs game path,shower anim,ok,activated,covered,
BioTerminalUnlocked,beep(3D) ok,ok,Backgroundify+doors,ok,collider-disabled,covered,
ScrapEaterProgress,beep(3D) ok,ok,progress+unlock,ok,progress+unlocked,covered,
MedStationHealed,medicalstation(3D),ok,laser-heal anim,HealAnimation copied ok,didHeal,covered,
BatteryInserted,batteryinsert(3D),sound MISSING,battery-vanish (item domain use),item domain,firstTime,covered,insert sound batteryinsert 3D replay added (identical to BatteryRecharger.cs:67)
